title,views,date_time,video_link,thumbnail_link
"I went to the House of a Zomato Software Engineer | Roadmap, Salary, Hiring, Insights, Perks etc.",13K views,4 days ago,/watch?v=1WCuuJYvPFc&pp=0gcJCb8Ag7Wk3p_U,/watch?v=1WCuuJYvPFc&pp=0gcJCb8Ag7Wk3p_U
Three 90 Challenge: Ending on 31st March!,8.6K views,6 days ago,/watch?v=j_qF5z5jazY&pp=0gcJCb8Ag7Wk3p_U,/watch?v=j_qF5z5jazY&pp=0gcJCb8Ag7Wk3p_U
GSoC 2025 | Everything You Need to Know,30K views,13 days ago,/watch?v=4U8t0WUQGps,/watch?v=4U8t0WUQGps
Why can't Gen Z get a job?,1.7K views,2 weeks ago,/watch?v=JZo33ruBBDA,/watch?v=JZo33ruBBDA
Prompts to 10x Your Coding Journey 🚀,3K views,2 weeks ago,/watch?v=N2FP3BbyrqY,/watch?v=N2FP3BbyrqY
Binary Trees Explained in 4 Minutes!,2.6K views,3 weeks ago,/watch?v=Um_sAan1LO4,/watch?v=Um_sAan1LO4
Dynamic Programming Explained in 6 Minutes,4.9K views,1 month ago,/watch?v=ByIhiLNbahY,/watch?v=ByIhiLNbahY
I went to IIT Delhi to meet Gate AIR 20 | Crack GATE with GeeksforGeeks!,2K views,1 month ago,/watch?v=ZSan8vrbWfw,/watch?v=ZSan8vrbWfw
Struggling with GATE? We can help boost your rank!,1K views,1 month ago,/watch?v=xgHQyBP9gDM,/watch?v=xgHQyBP9gDM
What do Software Engineers Really Do? | Are software engineering jobs really for you?,10K views,1 month ago,/watch?v=rg7B6QH7RZA,/watch?v=rg7B6QH7RZA
Get 55+ Marks Easily in GATE CS 2026 using this strategy,37K views,2 months ago,/watch?v=hc4_PWFFJnk,/watch?v=hc4_PWFFJnk
What is Machine Learning? | Lecture 1 | Free Video,4K views,2 months ago,/watch?v=1PtHLVsG_8s,/watch?v=1PtHLVsG_8s
A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,7.1K views,2 months ago,/watch?v=Ioj_XA-_jIY,/watch?v=Ioj_XA-_jIY
DSA was hard until i learned these 10 Patterns | Master DSA Now,17K views,2 months ago,/watch?v=aWjFPloGYmg,/watch?v=aWjFPloGYmg
You're missing out by not starting the Three 90 Challenge!,443K views,2 months ago,/watch?v=Tcmo0fSCAJQ,/watch?v=Tcmo0fSCAJQ
Which Programming Language should you learn in 2025 ? | *Free Resources Inside*,1.9K views,2 months ago,/watch?v=qduULN56XGk,/watch?v=qduULN56XGk
Your next 90 Days with Three 90 Challenge! | GeeksforGeeks,37K views,2 months ago,/watch?v=SKAfmFZrODc,/watch?v=SKAfmFZrODc
How to Crack Gate CSE Exam in Just 30 Days ? | Ultimate Roadmap | @GfG_GATE,1.4K views,2 months ago,/watch?v=p-ZRBDab5is,/watch?v=p-ZRBDab5is
Three 90 Challenge Winners | GeeksforGeeks,635 views,2 months ago,/watch?v=-tdb0AghaSU,/watch?v=-tdb0AghaSU
Three 90 Challenge Winners | GeeksforGeeks,586 views,2 months ago,/watch?v=LFxU2PSFMkQ&pp=0gcJCb8Ag7Wk3p_U,/watch?v=LFxU2PSFMkQ&pp=0gcJCb8Ag7Wk3p_U
Three 90 Challenge by GeeksforGeeks | Commonly Asked Questions | FAQs,844 views,2 months ago,/watch?v=sb3a4JmUVPc,/watch?v=sb3a4JmUVPc
Three 90 Challenge Winners | GeeksforGeeks,1.2K views,2 months ago,/watch?v=rxDSGn5OA7c,/watch?v=rxDSGn5OA7c
Three 90 Challenge Winners | Real Stories | GeeksforGeeks,3.2K views,2 months ago,/watch?v=9-EHruhI6g0,/watch?v=9-EHruhI6g0
Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,193K views,2 months ago,/watch?v=B05KjM_OLTA,/watch?v=B05KjM_OLTA
"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",5.4K views,2 months ago,/watch?v=nQ-dpHJPS2c,/watch?v=nQ-dpHJPS2c
The Only Cyber Security Roadmap you need for 2025 |,11K views,3 months ago,/watch?v=0CMNIpd-s_c,/watch?v=0CMNIpd-s_c
GeeksforGeeks is going to rock the world of Education with this move!,1.8K views,3 months ago,/watch?v=Na5zVw3g9So,/watch?v=Na5zVw3g9So
How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,5.3K views,3 months ago,/watch?v=dE-MlQnCT78,/watch?v=dE-MlQnCT78
Get your Dream Internship in the First Year of College | Step by Step Guide,1K views,3 months ago,/watch?v=89A8dNvjLYw&pp=0gcJCb8Ag7Wk3p_U,/watch?v=89A8dNvjLYw&pp=0gcJCb8Ag7Wk3p_U
GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,942 views,3 months ago,/watch?v=_l2tH4saDl4,/watch?v=_l2tH4saDl4
GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,799 views,3 months ago,/watch?v=gkps-WFPHYI,/watch?v=gkps-WFPHYI
These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1.4K views,3 months ago,/watch?v=cm1oKGS3mP4,/watch?v=cm1oKGS3mP4
GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,596 views,3 months ago,/watch?v=rOcXfIP3vps,/watch?v=rOcXfIP3vps
GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,595 views,3 months ago,/watch?v=maEcp5OXLgg,/watch?v=maEcp5OXLgg
FREE GATE Test Series 2025 by GeeksforGeeks,3K views,3 months ago,/watch?v=au6Ui7tnPxI,/watch?v=au6Ui7tnPxI
GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,538 views,3 months ago,/watch?v=ln6LYCHeris,/watch?v=ln6LYCHeris
GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,584 views,3 months ago,/watch?v=aZdTzG-OmLU,/watch?v=aZdTzG-OmLU
GfG 160 | Day- 37 | Rotate Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,631 views,3 months ago,/watch?v=RUQF765u8CY,/watch?v=RUQF765u8CY
GfG 160 | Day- 36 | Spiral Traversal | 160 Days Daily DSA Problem Solving | GeeksforGeeks,603 views,3 months ago,/watch?v=vI67TeaN6bg,/watch?v=vI67TeaN6bg
Fastest way to become a AI Engineer in 2025 | *Free Resources Inside*,2K views,3 months ago,/watch?v=kAiqXF3TyVg,/watch?v=kAiqXF3TyVg
GfG 160 | Day- 35 | Kth Missing Positive Number | 160 Days Daily DSA Problem Solving | GeeksforGeeks,679 views,3 months ago,/watch?v=Z2UNcqPXOPc,/watch?v=Z2UNcqPXOPc
GeeksforGeeks Classes- Now in Hyderabad!,222K views,3 months ago,/watch?v=fvPrYPgDONY,/watch?v=fvPrYPgDONY
GfG 160 | Day- 34 | Allocate Minimum Pages | 160 Days Daily DSA Problem Solving | GeeksforGeeks,619 views,3 months ago,/watch?v=POVcprzEWq4,/watch?v=POVcprzEWq4
GfG 160 | Day- 33 | Aggressive Cows | 160 Days Daily DSA Problem Solving | GeeksforGeeks,701 views,3 months ago,/watch?v=xUBzyf-EixQ,/watch?v=xUBzyf-EixQ
GfG 160 | Day- 32 | K-th Element of Merged Two Sorted Arrays | 160 Days Daily DSA Problem Solving,747 views,3 months ago,/watch?v=xgXJ0t_B_24,/watch?v=xgXJ0t_B_24
GfG 160 | Day- 31 | Peak Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,622 views,3 months ago,/watch?v=AqV-_bIyH30,/watch?v=AqV-_bIyH30
GfG 160 | Day- 30 | Search in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,692 views,3 months ago,/watch?v=tCZb576NK7k,/watch?v=tCZb576NK7k
GfG 160 | Day- 29 | Minimum in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,619 views,3 months ago,/watch?v=EtX8zY-DPdE,/watch?v=EtX8zY-DPdE
GfG 160 | Day- 28 | Count Occurrences in a Sorted Array | 160 Days Daily DSA Problem Solving | GfG,597 views,3 months ago,/watch?v=CofV2PsroxI,/watch?v=CofV2PsroxI
GfG 160 | Day- 27 | Merge Two Sorted Arrays Without Extra Space | 160 Days Daily DSA Problem Solving,734 views,3 months ago,/watch?v=CtmkAKGVI10,/watch?v=CtmkAKGVI10
GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,912 views,3 months ago,/watch?v=-45THxt4sE8,/watch?v=-45THxt4sE8
GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,618 views,3 months ago,/watch?v=9pN0jPYvJcM,/watch?v=9pN0jPYvJcM
GfG 160 | Day- 24 | Merge Overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,686 views,3 months ago,/watch?v=NgqBuVrtB9U&pp=0gcJCb8Ag7Wk3p_U,/watch?v=NgqBuVrtB9U&pp=0gcJCb8Ag7Wk3p_U
GfG 160 | Day - 23 | Count Inversions | 160 Days Daily DSA Problem Solving | GeeksforGeeks,832 views,3 months ago,/watch?v=XhWxlh1ObDc&pp=0gcJCb8Ag7Wk3p_U,/watch?v=XhWxlh1ObDc&pp=0gcJCb8Ag7Wk3p_U
GfG 160 | Day - 22 | H-Index | 160 Days Daily DSA Problem Solving | GeeksforGeeks,925 views,3 months ago,/watch?v=9fA8Pg4Q2QI&pp=0gcJCb8Ag7Wk3p_U,/watch?v=9fA8Pg4Q2QI&pp=0gcJCb8Ag7Wk3p_U
Tech Hiring in 2025: Complete Career Guide by Bain & Company Director,695 views,3 months ago,/watch?v=bVQCe5l_cZw,/watch?v=bVQCe5l_cZw
"GfG 160 | Day - 21 | Sort an array of 0s, 1s and 2s | 160 Days Daily DSA Problem Solving | GfG",740 views,3 months ago,/watch?v=A-ytmX7bXE4,/watch?v=A-ytmX7bXE4
GfG 160 | FAQs Video | 160 Days Daily DSA Problem Solving,1.4K views,3 months ago,/watch?v=EQTzVinWQ_g,/watch?v=EQTzVinWQ_g
GfG 160 | Day - 20 | String Rotations of each other | 160 Days Daily DSA Problem Solving | GfG,693 views,3 months ago,/watch?v=UOLi02in9BE,/watch?v=UOLi02in9BE
GeeksforGeeks- A Global Coding Community,450 views,3 months ago,/watch?v=hqA1A9AUiWU,/watch?v=hqA1A9AUiWU
GfG 160 | Day - 19 | Min Chars to Add for Palindrome | 160 Days Daily DSA Problem Solving | GfG,858 views,3 months ago,/watch?v=Kl302p8FxS4&pp=0gcJCb8Ag7Wk3p_U,/watch?v=Kl302p8FxS4&pp=0gcJCb8Ag7Wk3p_U
GfG 160 | Day - 18 | KMP Algorithm for Pattern Searching | 160 Days Daily DSA Problem Solving | GfG,899 views,3 months ago,/watch?v=UUcec5qbfZI,/watch?v=UUcec5qbfZI
Introduction to Strings: 4-Hour Complete Video | DSA Series for Beginners,5.3K views,3 months ago,/watch?v=qdj6l7PaulA,/watch?v=qdj6l7PaulA
GfG 160 | Day - 17 | First Non-Repeating Character | 160 Days Daily DSA Problem Solving | GfG,673 views,3 months ago,/watch?v=NxnfmfScXBE,/watch?v=NxnfmfScXBE
GfG 160 | Day - 16 | Anagram Check | 160 Days Daily DSA Problem Solving | GeeksforGeeks,836 views,3 months ago,/watch?v=Tr3s_nuSGgM,/watch?v=Tr3s_nuSGgM
GfG 160 | Day - 15 | Add Two Binary Strings | 160 Days Daily DSA Problem Solving | GfG,1.1K views,4 months ago,/watch?v=WMmu8ktpF3k,/watch?v=WMmu8ktpF3k
"I went to the House of a Microsoft Software Engineer | Life at Microsoft |SDE Roadmap, Salary, Perks",17K views,4 months ago,/watch?v=vNVSlT0WgKk,/watch?v=vNVSlT0WgKk
GfG 160 | Day - 14 | String to Integer - Your Own atoi() | 160 Days Daily DSA Problem Solving | GfG,1.6K views,4 months ago,/watch?v=ne_Ki_sdRSk,/watch?v=ne_Ki_sdRSk
GfG 160 | Day - 13 | First Missing Positive | 160 Days Daily DSA Problem Solving | GeeksforGeeks,881 views,4 months ago,/watch?v=LGGKan4TOXM,/watch?v=LGGKan4TOXM
GfG 160 | Day - 12 | Maximum Sum Subarray in Circular | 160 Days Daily DSA Problem Solving | GfG,938 views,4 months ago,/watch?v=l7smKuFKnNU,/watch?v=l7smKuFKnNU
"How She Cracked Google, Microsoft and Goldman Sachs? | Inspirational Journey",4.5K views,4 months ago,/watch?v=EI_sa4mRuzY,/watch?v=EI_sa4mRuzY
GfG 160 | Day - 11 | Maximum Product Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,917 views,4 months ago,/watch?v=54ftU2BX32Q,/watch?v=54ftU2BX32Q
GfG 160 | Day - 10 | Maximum Sum Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,948 views,4 months ago,/watch?v=UtKnJyQmptY&pp=0gcJCb8Ag7Wk3p_U,/watch?v=UtKnJyQmptY&pp=0gcJCb8Ag7Wk3p_U
OFF CAMPUS Placement and Internship 2025 Calendar revealed | Which company hires when?,5.9K views,4 months ago,/watch?v=m1bMe7YBLfQ,/watch?v=m1bMe7YBLfQ
GfG 160 | Day - 9 | Minimize the Heights | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.2K views,4 months ago,/watch?v=FbwS1Uc1G5g,/watch?v=FbwS1Uc1G5g
GfG 160 | Day - 8 | Stock Buy and Sell (With One Limit) | 160 Days Daily DSA Problem Solving | GfG,1K views,4 months ago,/watch?v=SJ7nskvro4k,/watch?v=SJ7nskvro4k
Master Front End Development with this Roadmap | Free Doc Resource Inside,1.7K views,4 months ago,/watch?v=oerwFx6CZk4,/watch?v=oerwFx6CZk4
Winter Carnival Tickets are Live Now,555 views,4 months ago,/watch?v=k5fAC_ORuOg,/watch?v=k5fAC_ORuOg
GfG 160 | Day - 7 | Stock Buy and Sell (With No Limit) | 160 Days Daily DSA Problem Solving | GfG,1.4K views,4 months ago,/watch?v=ULd5mo-bCE4,/watch?v=ULd5mo-bCE4
GfG 160 | Day - 6 | Majority Element II | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.3K views,4 months ago,/watch?v=6Mfyfn1_4BY,/watch?v=6Mfyfn1_4BY
GfG 160 | Day - 5 | Next Permutation | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2.1K views,4 months ago,/watch?v=GQdOXQKdtQM,/watch?v=GQdOXQKdtQM
GfG 160 | Day - 4 | Rotate an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2K views,4 months ago,/watch?v=5KzhdiOePOU,/watch?v=5KzhdiOePOU
GfG 160 | Day - 3 | Reverse an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2K views,4 months ago,/watch?v=gGtmacuQu-k,/watch?v=gGtmacuQu-k
Use AI Before it Uses you!! | Become a 10x Coder,1.4K views,4 months ago,/watch?v=tXU3YRu23kU,/watch?v=tXU3YRu23kU
GfG 160 | Day - 2 | Move all Zeros to End | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2.7K views,4 months ago,/watch?v=Q2ynXrtGN8Y,/watch?v=Q2ynXrtGN8Y
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,7K views,4 months ago,/watch?v=JoNs4m0QCig,/watch?v=JoNs4m0QCig
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,11K views,4 months ago,/watch?v=puDKP5_0Ol4,/watch?v=puDKP5_0Ol4
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",1.2K views,4 months ago,/watch?v=1TnVdzwbzJo,/watch?v=1TnVdzwbzJo
Why you will not get placed? | Save yourself Now,2.2K views,4 months ago,/watch?v=b-6rmk233DU,/watch?v=b-6rmk233DU
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,3K views,4 months ago,/watch?v=rfyhmQYEJKE,/watch?v=rfyhmQYEJKE
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",1M views,4 months ago,/watch?v=hDfjzq9m5vI,/watch?v=hDfjzq9m5vI
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,4.3K views,4 months ago,/watch?v=A7_iaBNOxSU,/watch?v=A7_iaBNOxSU
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,3.5K views,5 months ago,/watch?v=FyHidTTNXJ8,/watch?v=FyHidTTNXJ8
How I would learn to code (if i could start over) | 18 LPA+ Package,2.1K views,5 months ago,/watch?v=Bq4TH-OhqY0&pp=0gcJCb8Ag7Wk3p_U,/watch?v=Bq4TH-OhqY0&pp=0gcJCb8Ag7Wk3p_U
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,3.8K views,5 months ago,/watch?v=DoXFPztXGyM,/watch?v=DoXFPztXGyM
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",57K views,5 months ago,/watch?v=UvNQUwuN9Ss,/watch?v=UvNQUwuN9Ss
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,8.7K views,5 months ago,/watch?v=kBN7AZ0MRgI,/watch?v=kBN7AZ0MRgI
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,1.4K views,5 months ago,/watch?v=lWrzQFqgTcY,/watch?v=lWrzQFqgTcY
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,9.2K views,5 months ago,/watch?v=loPvFZXUcNw,/watch?v=loPvFZXUcNw
Crack Off-Campus Placement before 2025 with this Strategy,4.6K views,5 months ago,/watch?v=rQs1n2ERSvk,/watch?v=rQs1n2ERSvk
"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",57K views,5 months ago,/watch?v=P_ZxK9dTyeA,/watch?v=P_ZxK9dTyeA
Master Competitive Programming with this RoadMap | *Free Resources Inside*,7.4K views,5 months ago,/watch?v=lozDmn15zcw,/watch?v=lozDmn15zcw
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,6.1K views,5 months ago,/watch?v=KY73lTNeWzI,/watch?v=KY73lTNeWzI
